Mã UC,Module,Tên use case,Tác nhân,Mô tả ngắn,Ghi chú
UC-01,Xác thực & phiên đăng nhập,Đăng nhập,"Người dùng, Khách hàng","Nhập username và mật khẩu để vào hệ thống, nhận access token và refresh token.",Đã triển khai
UC-02,Xác thực & phiên đăng nhập,Đăng ký tài khoản,"Khách hàng, Người dùng mới","Tạo tài khoản mới với thông tin cơ bản (username, email, mật khẩu, …).",Đã triển khai
UC-03,Xác thực & phiên đăng nhập,Quên mật khẩu,"Người dùng","Yêu cầu gửi email chứa link hoặc token để đặt lại mật khẩu.",Đã triển khai
UC-04,Xác thực & phiên đăng nhập,Đặt lại mật khẩu (theo link/token email),"Người dùng","Nhập mật khẩu mới khi có token hợp lệ từ email (self-service, không qua admin).",Đã triển khai — khác UC-20 (admin reset user)
UC-05,Xác thực & phiên đăng nhập,Đăng xuất,Người dùng đã đăng nhập,"Hủy phiên làm việc, xóa refresh token cookie và session phía server khi có.",Đã triển khai
UC-06,Xác thực & phiên đăng nhập,Làm mới access token,Người dùng đã đăng nhập,"Dùng refresh token trong cookie để cấp access token mới khi hết hạn.",Đã triển khai
UC-07,Xác thực & phiên đăng nhập,Xem thông tin tài khoản hiện tại,Người dùng đã đăng nhập,"Trả về profile người dùng đang đăng nhập (kèm vai trò khi có).",Đã triển khai
UC-08,Xác thực & phiên đăng nhập,Cập nhật hồ sơ cá nhân,Người dùng đã đăng nhập,"Sửa họ tên, email, SĐT, địa chỉ; có thể đặt lại trạng thái xác thực email nếu đổi email.",Đã triển khai
UC-09,Xác thực & phiên đăng nhập,Gửi mã xác thực email,Người dùng đã đăng nhập,"Tạo và gửi mã OTP xác thực tới email đăng ký.",Đã triển khai
UC-10,Xác thực & phiên đăng nhập,Xác thực email bằng mã,Người dùng đã đăng nhập,"Nhập mã OTP để xác minh email và cập nhật trạng thái isVerified.",Đã triển khai
UC-11,Xác thực & phiên đăng nhập,Đổi mật khẩu,Người dùng đã đăng nhập,"Đổi mật khẩu khi biết mật khẩu hiện tại (khác quên mật khẩu).",Đã triển khai
UC-12,Quản lý người dùng (Admin),Xem danh sách người dùng,Quản trị viên,"Danh sách có phân trang, lọc theo vai trò / loại tài khoản / trạng thái / khoảng ngày.",Đã triển khai
UC-13,Quản lý người dùng (Admin),Tìm kiếm / lọc người dùng,Quản trị viên,"Tìm theo username, email, họ tên hoặc từ khóa liên quan vai trò.",Đã triển khai
UC-14,Quản lý người dùng (Admin),Xem chi tiết người dùng,Quản trị viên,"Xem đầy đủ thông tin một user (theo id).",Đã triển khai
UC-15,Quản lý người dùng (Admin),Tạo người dùng,Quản trị viên,"Tạo user mới và gán thông tin cơ bản (có thể gán vai trò).",Đã triển khai
UC-16,Quản lý người dùng (Admin),Cập nhật người dùng,Quản trị viên,"Sửa thông tin user (không nhất thiết đổi mật khẩu).",Đã triển khai
UC-17,Quản lý người dùng (Admin),Xóa người dùng,Quản trị viên,"Vô hiệu hóa / xóa logic user theo quy tắc nghiệp vụ.",Đã triển khai
UC-18,Quản lý người dùng (Admin),Gán vai trò cho người dùng,Quản trị viên,"Gán một hoặc nhiều role cho user.",Đã triển khai
UC-19,Quản lý người dùng (Admin),Gỡ vai trò khỏi người dùng,Quản trị viên,"Xóa role khỏi user khi không còn phù hợp.",Đã triển khai
UC-20,Quản lý người dùng (Admin),Đặt lại mật khẩu người dùng (admin),Quản trị viên,"Admin đặt mật khẩu mới cho user (khác đặt lại qua email của chính user).",Đã triển khai — đối chiếu UC-04
UC-21,Quản lý người dùng (Admin),Xem danh sách vai trò (dropdown),Quản trị viên,"Lấy danh sách role để hiển thị khi tạo/sửa user.",Đã triển khai
UC-22,Phân quyền (Vai trò),Xem danh sách vai trò,Quản trị viên,"Liệt kê tất cả role trong hệ thống.",Đã triển khai
UC-23,Phân quyền (Vai trò),Xem chi tiết vai trò,Quản trị viên,"Xem thông tin một role cụ thể.",Đã triển khai
UC-27,Quản lý nhân viên,Xem danh sách nhân viên,"Quản trị viên, Quản lý","Danh sách nhân viên theo chi nhánh / trạng thái.",Đã triển khai
UC-28,Quản lý nhân viên,Tìm kiếm / lọc nhân viên,"Quản trị viên, Quản lý","Tìm theo tên, SĐT hoặc điều kiện lọc trên API.",Đã triển khai
UC-29,Quản lý nhân viên,Xem chi tiết nhân viên,"Quản trị viên, Quản lý","Xem hồ sơ nhân viên theo id.",Đã triển khai
UC-30,Quản lý nhân viên,Tạo nhân viên,Quản trị viên,"Thêm bản ghi nhân viên và liên kết user / chi nhánh khi có.",Đã triển khai
UC-31,Quản lý nhân viên,Cập nhật nhân viên,Quản trị viên,"Sửa thông tin nhân viên.",Đã triển khai
UC-32,Quản lý nhân viên,Xóa nhân viên,Quản trị viên,"Xóa hoặc vô hiệu hóa nhân viên.",Đã triển khai
UC-33,Quản lý sản phẩm,Xem danh sách sản phẩm,"Nhân viên bán hàng, Quản lý, Quản trị viên","Danh sách có phân trang và điều kiện lọc theo catalog.",Đã triển khai
UC-34,Quản lý sản phẩm,Tìm kiếm / lọc sản phẩm,"Nhân viên bán hàng, Quản lý","Tra theo SKU, barcode, tên hoặc bộ lọc danh mục.",Đã triển khai
UC-35,Quản lý sản phẩm,Xem chi tiết sản phẩm,"Nhân viên bán hàng, Khách (kênh xem)","Xem thuộc tính đầy đủ một sản phẩm.",Đã triển khai
UC-36,Quản lý sản phẩm,Tạo sản phẩm,Quản trị viên / Quản lý kho (theo RBAC),"Thêm sản phẩm mới vào danh mục.",Đã triển khai
UC-37,Quản lý sản phẩm,Cập nhật sản phẩm,Quản trị viên / Quản lý,"Sửa giá, mô tả, SKU, barcode, ảnh đại diện, v.v.",Đã triển khai
UC-38,Quản lý sản phẩm,Xóa sản phẩm (soft delete nếu có),Quản trị viên,"Ẩn hoặc xóa sản phẩm khỏi vận hành.",Đã triển khai
UC-39,Quản lý sản phẩm,Upload ảnh sản phẩm,Quản trị viên,"Tải lên một hoặc nhiều ảnh cho sản phẩm.",Đã triển khai
UC-40,Quản lý sản phẩm,Nhập sản phẩm từ Excel,Quản trị viên,"Import hàng loạt từ file Excel (SKU, barcode, tên, …).",Đã triển khai
UC-41,Quản lý sản phẩm,Cập nhật giá hàng loạt,Quản trị viên,"Bulk update giá theo danh sách hoặc quy tắc.",Đã triển khai
UC-42,Quản lý sản phẩm,In tem mã vạch / xuất Excel mã vạch,Quản trị viên / Nhân viên kho,"In nhãn CODE128 và xuất dữ liệu barcode ra Excel (thường xử lý phía client).","Đã triển khai (một phần UI)"
UC-43,Danh mục sản phẩm,Xem danh sách danh mục,"Nhân viên bán hàng, Quản lý","Liệt kê nhóm hàng hóa.",Đã triển khai
UC-44,Danh mục sản phẩm,Tìm / lọc danh mục trên giao diện,"Nhân viên bán hàng, Quản lý","Lọc theo tên sau khi tải danh sách (không bắt buộc API search riêng).",Đã triển khai / Một phần
UC-45,Danh mục sản phẩm,Tạo danh mục,Quản trị viên,"Thêm nhóm sản phẩm mới.",Đã triển khai
UC-46,Danh mục sản phẩm,Cập nhật danh mục,Quản trị viên,"Sửa tên hoặc mô tả nhóm.",Đã triển khai
UC-47,Danh mục sản phẩm,Xóa danh mục,Quản trị viên,"Xóa nhóm khi không còn sản phẩm phụ thuộc hoặc theo quy tắc.",Đã triển khai
UC-48,Thương hiệu,Xem danh sách thương hiệu,"Nhân viên bán hàng, Quản lý","Liệt kê các nhãn hiệu sản phẩm.",Đã triển khai
UC-49,Thương hiệu,Tìm / lọc thương hiệu trên giao diện,"Nhân viên bán hàng, Quản lý","Lọc theo tên trên client nếu không có endpoint search.",Một phần
UC-50,Thương hiệu,Tạo thương hiệu,Quản trị viên,"Thêm brand mới.",Đã triển khai
UC-51,Thương hiệu,Cập nhật thương hiệu,Quản trị viên,"Sửa thông tin brand.",Đã triển khai
UC-52,Thương hiệu,Xóa thương hiệu,Quản trị viên,"Xóa brand khi cho phép.",Đã triển khai
UC-53,Thiết bị sử dụng (Compatibility),Xem danh sách thiết bị,Nhân viên bán hàng,"Danh sách loại thiết bị/phương tiện gắn ắc quy.",Đã triển khai
UC-54,Thiết bị sử dụng (Compatibility),Tạo thiết bị,Quản trị viên,"Thêm mã thiết bị/pin phù hợp.",Đã triển khai
UC-55,Thiết bị sử dụng (Compatibility),Cập nhật thiết bị,Quản trị viên,"Sửa mô tả thiết bị.",Đã triển khai
UC-56,Thiết bị sử dụng (Compatibility),Xóa thiết bị,Quản trị viên,"Xóa khi không còn dùng.",Đã triển khai
UC-57,Kiểm kê kho,Xem danh sách phiếu kiểm kê,"Quản lý kho, Quản lý chi nhánh","Theo dõi các đợt kiểm kê.",Đã triển khai
UC-58,Kiểm kê kho,Xem chi tiết phiếu kiểm kê,"Quản lý kho, Quản lý chi nhánh","Xem từng dòng lệch tồn.",Đã triển khai
UC-59,Kiểm kê kho,Tạo phiếu kiểm kê,"Quản lý kho, Quản lý chi nhánh","Khởi tạo phiên kiểm kê tại chi nhánh.",Đã triển khai
UC-60,Kiểm kê kho,Xác nhận kiểm kê (ghi nhận điều chỉnh),"Quản lý kho, Quản lý chi nhánh","Xác nhận và cập nhật tồn kho theo kết quả kiểm.",Đã triển khai
UC-61,Nhập kho (Stock In),Xem danh sách phiếu nhập,"Quản lý kho, Quản lý chi nhánh","Lọc theo mã, nhà cung cấp, ngày.",Đã triển khai
UC-62,Nhập kho (Stock In),Xem chi tiết phiếu nhập,"Quản lý kho, Quản lý chi nhánh","Xem dòng hàng và trạng thái phiếu.",Đã triển khai
UC-63,Nhập kho (Stock In),Tạo phiếu nhập nháp,"Quản lý kho, Quản lý chi nhánh","Thêm dòng từ sản phẩm tìm bằng SKU/barcode/tên.",Đã triển khai
UC-64,Nhập kho (Stock In),Cập nhật phiếu nhập nháp,"Quản lý kho, Quản lý chi nhánh","Sửa số lượng, giá nhập trước khi xác nhận.",Đã triển khai
UC-65,Nhập kho (Stock In),Xác nhận nhập kho (cộng tồn),"Quản lý kho, Quản lý chi nhánh","Xác nhận phiếu và cập nhật tồn thực tế.",Đã triển khai
